Top-level category,Long name,Short name,Common Standard Name,Abbreviation used in ePLANT,Unit,Short definition (140 characters),Long definition,Definition CF 1.6,Standard name (Reference),URL (Standard name),Label
Biomass,Plant hydraulic resistance to the transport of water.,hydraulic_resist,,RPLNT,MPA s m2 mmol-1,,"Plant hydraulic resistance is associated to leaf; stem and roots water potential. There is a time lag between water uptake by roots and transpiration from roots to leaves because of the resistance of the water flow. There is resistance to water movement by gravity, around soil particles, within membranes and cell walls in roots, inside the xylem by the frictional drag of cell walls and within the leaves because of membranes and cell walls. Hydraulic resistance is also associated to hydraulic architecture and plant height (Eamus, 2006).",,,,"hydraulic resistance, water transport"
Biomass,Plant root resistance to the transport of water.,root_resist,,RROOT,MPA s m2 mmol-1,,"Root resistance is associated to plant water potential. About half hydraulic resistance to movement of water is belowground. Soil resistance tends not to be large in moist soils and resistance to water flow occurs principally in the root. However, as the soil dries, its hydraulic conductance (the opposite of resistance) reduces and resistance in all parts of the plant will increase reducing transpiration and ultimately carbon assimilation (Eamus, 2006).",,,,"root, resistance, water transport"
Biomass,Soils resistance in close proximity to roots.,soil_resist_close_root,,RSOIL,MPA s m2 mmol-1,,"Soil resistance is associated to plant water potential. About half hydraulic resistance to movement of water is belowground. Soil resistance tends not to be large in moist soils and resistance to water flow occurs principally in the root. However, as the soil dries, its hydraulic conductance (the opposite of resistance) reduces and resistance in all parts of the plant will increase reducing transpiration and ultimately carbon assimilation (Eamus, 2006).",,,,"soil, resistance, root"
Biomass,Sapwood area.,sapwood_area,,SAREA,m-2,,"Cross-sectional sapwood (or xylem) area is used as a proxy of plantÍs stem or branch water conducting tissue although the conducting parts are mostly vessels in angiosperms and traqueids in gimnosperms. When measured, the stem or branch total area is subtracted from bark and pith or heartwood. Cross-sectional sapwood area is expected to scale isometrically with the supplied leaf area in any part of the plant (pipe model theory) (Tyree and Ewers, 1991). ",,,,"sapwood, area"
Biomass,Soil nutrient percentage of carbon.,soil_carbon,,SOILC,%,,Soil is one of the biggest sinks of carbon playing a key role in the carbon cycle. Organic carbon in soil is build-up from inputs of new plant and animal material and outputs of constant losses in decomposition separating mineral nutrients and gases. Organic matter is associated to soil fertility (http://www.csiro.au/Outcomes/Environment/Australian-Landscapes/soil-carbon.aspx).,,,,"soil, nutrient, percentage, carbon"
Biomass,Soil nutrient percentage of nitrogen.,soil_nitrogen_N,,SOILN,%,,"Soil nitrogen is associated to photosynthesis. Nitrogen is a key nutrient for carbon fixation in plants and it is found in the protein Rubisco that drives the photosynthetic process (Evans, 1989). N inputs to the soil are mineral fertilization, wet and dry deposition, biological fixation and sedimentation. N outputs to the soil are aboveground plant N, leaching, denitrification and erosion (Vitousek et al., 1997). ",,,,"soil, nutrient, percentage, nitrogen"
Biomass,Soil nutrient level of phosphate.,soil_phosphorus_P,,SOILP,ppm,,"Phosphate is the natural occurrence of the element phosphorus. Phosphorus-based compounds are solid at atmospheric temperatures and not available for atmosphere cycling. Because of this limitation in its cycle there is a tendency of P reduction in most non-treated soils as a result of slow run-off. P is important to photosynthesis as it is necessary for electron transport and ATP regeneration in the oxidative phosphorylation (Atwell et al., 1999). Leaf P, roots P and soil P are broadly correlated (Schreeg et al., 2014).",,,,"soil, nutrient, phosphate"
Photosynthesis,Photosynthetic light-response curvature.,photo_light_curvature,,THETA,unitless,,"THETA is the curvature of a non-rectangular hyperbola response of photosynthesis to light and it can be measured and described by equations but hardly predicted. It is a function of photosynthetic rate, absorbed irradiance, maximum quantum yield and photosynthetic maximum capacity (Égren and Evans, 1993).",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,Leaf surface temperature.,leaf_temp,,TLEAF,oC,,"Leaf photosynthetic processes are highly dependent on temperature. Temperature dependence is widely incorporated into vegetation_climate models, and its effects on leaf carbon budget are a major constraint on plant productivity. Plants tend to acclimate to temperature regulating their photosynthetic thermal optimum to the prevailing thermal regime (Lin et al., 2013).",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,Maximum rate of carboxylation per leaf area at an ambient temperature of 25 degrees Celsius.,max_carboxylation_leaf_area_25_celsius,,VCM25,umol CO2 m-2 s-1,,"Maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (Vcmax); and electron transport for RuBP regeneration in the Calvin cycle (Jmax). When light is saturating, the amount of activated Rubisco determines the maximum velocity of carboxylation, Vcmax (Farquhar et al., 1980).Vcmax estimated in ambient temperature is standardized to 25 degrees Celsius applying an adapted Arrenius equation (Bernacchi et al., 2009). This standardization reduces biases due to temperature effects. Vcmax in an area based is calculated from photosynthesis in an area base. Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004). ",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,Maximum rate of PEP regeneration per leaf area at an ambient temperature of 25 degrees Celsius.,max_PEP_leaf_area_25_celsius,,VPA25,umol CO2 m-2 s-1,,"PEP carboxylase is the enzyme that fixes carbon in the compound oxaloacetate for C3 and CAM plants. PEP carboxylase efficiency is estimated by the initial slope of the response of photosynthesis to partial intercellular CO2 concentration (Von Caemmerer, 2000). The maximum rate photosynthesis is determined by the slower of two biochemical rates: the carboxylation of RuBP, determined by Rubisco activity (Vcmax); and electron transport for RuBP regeneration in the Calvin cycle (Jmax). When light is saturating, the maximum rate of photosynthesis will be determined by the carboxylation of RuBP (Farquhar et al., 1980). Photosynthesis determined in ambient temperature is standardized to 25 degrees Celsius applying an adapted Arrenius equation (Bernacchi et al., 2009). This standardization reduces biases due to temperature effects. Photosynthesis measured by IRGAs (Infrared Gas Analyzer system) is obtained in an area base. Photosynthesis in a mass base can be normalized to area base by simply dividing AMASS to leaf mass area (LMAQQ). Area based traits reflect surface fluxes such as light harvesting and transactions through surfaces such as carbon assimilation and water transpiration (Wright et al., 2004). ",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,Woody density.,wood_dens,,WDENS,m3 g,,"Wood density is the dry mass of a section of a plantÍs stem divided by the dry wood volume of the same section. In broad terms, wood density is related to structural strength, plant life spam, plant height, trades-off with growth rate and stem defences against pathogens, herbivores and physical damage. In combination with plant size traits is important aboveground carbon storage (Cornelissen et al., 2003).",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,Fresh Woody density.,wood_dens_fresh,,WDENF,m3 g,,"Wood density is the fresh mass of a section of a plantÍs stem divided by the fresh volume of the same section. In broad terms, wood density is related to structural strength, plant life spam, plant height, trades-off with growth rate and stem defences against pathogens, herbivores and physical damage. In combination with plant size traits is important aboveground carbon storage (Cornelissen et al., 2003).",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,reference_CO2_CO2R,,CO2R,_mol mol-1,,Measured variable.  Carbon Dioxide Concentration used as reference to define the sample CO2. Measurements of photosynthesis are based on the differences in CO2 in an air stream that is flowing through the leaf cuvette,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,sample_CO2_CO2S,,CO2S,_mol mol-1,,Measured variable.  Carbon Dioxide Concentration measured inside the IRGA chamber. Measurements of photosynthesis are based on the differences in CO2 in an air stream that is flowing through the leaf cuvette,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,CO2_difference,,_CO2,_mol mol-1,,sample_CO2 minus reference_CO2,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,reference_H2O_H2OR,,H2OR,mmol mol-1,,Measured variable.  Water Concentration in air used as reference to define the sample H20. Measurements of transpiration are based on the differences in H2O in an air stream that is flowing through the leaf cuvette,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,sample_H2O_H2OR,,H2OR,mmol mol-1,,Measured variable.  Water Concentration in air measured inside the IRGA chamber. Measurements of transpiration are based on the differences in H2O in an air stream that is flowing through the leaf cuvette,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,H2O_difference,,_H2O,mmol mol-1,,sample_H2O minus reference_H2O,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Photosynthesis,NA,flow,,Flow,_mol s-1,,"Measured variable, relates to flow rate. The LI-6400 is an open system, which means that measurements of photosynthesis and transpiration are based on the differences in reference_CO2 and sample_CO2; and reference_H2O and sample_H2O in an air stream that is flowing through the leaf cuvette",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,block_temp_tblk,,Tblk,ÁC,,Measured variable. Temperature of the metal block containing the optical path of the IRGA is measured with a linearized thermistor.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,air_temp_tair,,Tair,ÁC,,Measured variable. Air temperature is computed from the signal of a linearized thermistor located just beneath the circulation fan in the sample IRGA.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,leaf_temp_tleaf,,Tleaf,ÁC,,"Measured variable. Leaf temperature is measured with a chromel-constantan thermocouple junction. The reference junction is the IRGA block, whose temperature is known. ",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,atm_press,,Press,kPa,,Measured variable. Atmospheric pressure is measured with a transducer located in the console of the LI-6400.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,chamber_PAR_in,,PARi,_mol m-2 s-1,,Measured variable. The in-chamber PAR sensor is a GaAsP sensor located in the top of the standard chamber.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,external_PAR_out,,PARo,_mol m-2 s-1,,Measured variable. The optional external quantum sensor is a LI-COR LI-190 Quantum Sensor.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,reference_RH,,RH_R,%,,Computed variable. Relative humidity is the ratio of vapour pressure to saturation vapour pressure; used as reference to define the sample RH,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,sample_RH,,RH_S,%,,Computed variable. Relative humidity is the ratio of vapour pressure to saturation vapour pressure.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,reference_dew_point_in,,TdR,ÁC,,"Computed variable. Dewpoint temperature, the temperature at which condensation will occur, in the reference cell",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,sample_dew_point_out,,TdS,ÁC,,"Computed variable. Dewpoint temperature, the temperature at which condensation will occur, in the sample cell",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
