Standard_Name,Definition_Standard_Name,Reference_Definition_Standard_Name,Short_Name,Definition_Short_Name,Reference_Definition_Short_Name,Long_Name,Definition_Long_Name,Reference_Definition_Long_Name,Variable_Name,Definition_Variable_Name,Reference_Definition_Variable_Name,Project,,,,,,,Product,Extension,Product Origin,Product_code,Long Definition (Reference),,,z,,,Definition CF 1.6,Definition 'Glossary of Weather and Climate' 
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual deficit evapotranspiration,Deficit evapotranspiration for the Australian continent ,Dr. Bradley Evans,"Annual Deficit evapotranspiration: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual deficit evapotranspiration for the Australian continent. Modelled using eMAST-R-Package 2.0.,,evapotranspiration,The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration).,"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly deficit evapotranspiration,Deficit evapotranspiration for the Australian continent ,Dr. Bradley Evans,"Monthly Deficit evapotranspiration: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly deficit evapotranspiration for the Australian continent. Modelled using eMAST-R-Package 2.0.,,evapotranspiration,The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration).,"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual equilibrium evapotranspiration,Equilibrium evapotranspiration (approximated) for the Australian continent ,Dr. Bradley Evans,"Annual Equilibrium evapotranspiration (approximated): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual equilibrium evapotranspiration (approximated) for the Australian continent. Modelled using eMAST-R-Package 2.0.,,evapotranspiration,The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration).,"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly equilibrium evapotranspiration,Equilibrium evapotranspiration (approximated) for the Australian continent ,Dr. Bradley Evans,"Monthly Equilibrium evapotranspiration (approximated): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly equilibrium evapotranspiration (approximated) for the Australian continent. Modelled using eMAST-R-Package 2.0.,,evapotranspiration,The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration).,"Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly potential evapotranspiration,Potential Evapotranspiration for the Australian continent,Dr. Bradley Evans,"Monthly Potential evapotranspiration: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly Potential Evapotranspiration for the Australian continent. Modelled using eMAST-R-Package 2.0.,,potential_evapotranspiration,"The amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Evapotranspiration,"Evapotranspiration = The vaporization of water through direct evaporation from wet surfaces plus the release of water vapor by plants through leaf pores (transpiration). More specifically: Actual evapotranspiration = The quantity of water evaporated from soil and plants when the ground is at its natural moisture content. Potential evapotranspiration = Generally, the amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual potential evapotranspiration,Potential Evapotranspiration for the Australian continent,Dr. Bradley Evans,"Annual Potential evapotranspiration: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual potential evapotranspiration for the Australian continent. Modelled using eMAST-R-Package 2.0.,,potential_evapotranspiration,"The amount of water vapor that, if available, would be removed from a given well-watered land area by evapotranspiration. Usually, this amount is the maximum amount for particular climate and vegetation cover","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",eMAST,,,,,,,,,,,,,,,,,,
Gross Primary Production,Gross Primary Production = Photosynthesis of the whole ecosystem.,"Understanding the Earth System: Global Change Science for Application. 2012. Sarah E. Cornell, I. Colin Prentice, Joanna I. House, Catherine J. Downy (Eds.). Cambridge University Press, Cambridge UK. 267pp.",Gross Primary Production,"Gross Primary Production (ePiSaT) for the Australian continent. Constrained using OzFlux observations, Australian Water Availability Project, Bureau of Meteorology and MODIS fAPAR data.",Dr. Bradley Evans,Gross Primary Production,"Gross Primary Production (ePiSaT) for the Australian continent. Constrained using OzFlux observations, Australian Water Availability Project, Bureau of Meteorology and MODIS fAPAR data.",,gross_primary_productivity_of_biomass_expressed_as_carbon,"Gross primary production is the rate of synthesis of biomass from inorganic precursors by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton.",CF 1.6,ePiSaT,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean of annual precipitation,Annual mean precipitation for the Australian continent for the baseline climatic average of monthly 1976-2005 data.,Dr. Bradley Evans,"Annual 1976-2005 mean of annual precipitation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean of annual precipitation seasonality,Annual mean precipitation seasonality (coefficient of variation) for the Australian continent for the baseline climatic average of monthly 1976-2005 data.,Dr. Bradley Evans,"Annual 1976-2005 mean of annual precipitation seasonality (coefficient of variation): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation seasonality (coefficient of variation) for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean precipitation of coldest quarter,Annual mean precipitation of coldest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Coldest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is lower than any other set of 3 consecutive months. ,Dr. Bradley Evans,"Annual 1976-2005 mean precipitation of coldest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation of coldest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Mean temperature of coldest quarter for the Australian continent. Coldest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is lower than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean precipitation of driest month,Annual mean precipitation of driest month for the Australian continent for the baseline climatic average of monthly 1976-2005 data.,Dr. Bradley Evans,"Annual 1976-2005 mean precipitation of driest month: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation of driest month for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
